date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:53,Science & Technology careers,Game Designer,232,$80K,"Undertake a qualification in the area of game design. This is commonly a Certificate IV in Information Technology (Gaming Development) (ICT40120) or a 
Diploma of Information Technology (ICT50220).",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Game Developer,774,$100K,The technology in use in the gaming industry evolves constantly. It is important to keep up to date with the programming languages and game engines that are currently in use in the industry and aim to specialise in one of the in-demand programming languages.,,,,,,
2/04/2023 22:53,Trades & Services careers,Hardware Technician,80,$65K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Analyst,"1,410",$68K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Coordinator,2,$65K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Manager,127,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Officer,"1,323",$65K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Operator,313,$60K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Team Leader,230,N/A,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Helpdesk Technician,79,$65K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Business Analyst,"2,178",$105K,"Complete a bachelor degree in business administration, information systems or a related field. Alternatively, for students with previous tertiary qualifications in an unrelated field, complete a postgraduate qualification in business administration or a similar discipline.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Consultant,259,$90K,Complete a bachelor degree majoring in Information Technology. This is usually a three–year course of study.,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Manager,"3,559",$130K,"Complete a bachelor degree in computer science, information technology, IT project management or a related field.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Project Manager,"3,754",$135K,Consider completing an undergraduate degree such as the Bachelor of Information Technology or Bachelor of Computer Science.,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Service Desk Analyst,"1,498",$70K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Support Engineer,"2,114",$78K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Support Officer,"1,406",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Support Technician,"1,322",$68K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,IT Technician,599,$68K,Complete a qualification in Information Technology. This could be the Diploma of Information Technology (ICT50118) or a Bachelor of Information Technology.,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Implementation Consultant,253,$120K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Implementation Engineer,108,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Implementation Manager,222,$128K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Implementation Specialist,42,$80K,no data,,,,,,
