date,industry,name,opportunities,salary,qualification
4/04/2023 20:54,Information & Communication Technology careers,Mobile Application Developer,321,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering. This usually takes three to four years of full-time study.  "
4/04/2023 20:54,Information & Communication Technology careers,Mobile Developer,326,$135K,no data
4/04/2023 20:54,Information & Communication Technology careers,Monitoring Engineer,31,$110K,no data
4/04/2023 20:54,Information & Communication Technology careers,Network Administrator,"1,304",$90K,"Complete a relevant qualification such as a Diploma of Information Technology (Advanced Networking) (ICT50220), or a bachelor degree in information technology or computer science.  "
4/04/2023 20:54,Information & Communication Technology careers,Network Architect,927,$150K,no data
4/04/2023 20:54,Information & Communication Technology careers,Network Consultant,124,$148K,no data
4/04/2023 20:54,Information & Communication Technology careers,Network Engineer,"3,997",$120K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Systems or Bachelor of Information Technology. If you have a previous tertiary qualification in another discipline, consider completing a postgraduate degree in information technology or networking. "
4/04/2023 20:54,Information & Communication Technology careers,Network Specialist,"1,081",$110K,"Complete a bachelor degree in information technology, computer science or a similar field. This usually takes three years. "
4/04/2023 20:54,Information & Communication Technology careers,Network Technician,398,$85K,no data
4/04/2023 20:54,Information & Communication Technology careers,Network and Systems Engineer,"1,464",$105K,no data
4/04/2023 20:54,Information & Communication Technology careers,Operations Engineer,209,$115K,no data
4/04/2023 20:54,Information & Communication Technology careers,Operations Lead,230,$125K,no data
4/04/2023 20:54,Information & Communication Technology careers,Operations Specialist,194,N/A,no data
4/04/2023 20:54,Information & Communication Technology careers,Optimisation Analyst,7,$110K,no data
4/04/2023 20:54,Information & Communication Technology careers,Optimisation Specialist,6,$110K,no data
4/04/2023 20:55,Information & Communication Technology careers,PHP Developer,"1,088",$108K,"Complete a bachelor degree in computer science, IT or software engineering. Alternatively, a VET course such as a Diploma of Information Technology (ICT50220) can introduce you to the basic skills required for the role. "
4/04/2023 20:55,Information & Communication Technology careers,Penetration Tester,622,$120K,"Complete a bachelor degree in cyber security, computer science, information technology or a related field."
4/04/2023 20:55,Human Resources & Recruitment careers,Performance Consultant,18,$105K,no data
4/04/2023 20:55,Information & Communication Technology careers,Performance Engineer,79,$135K,no data
4/04/2023 20:55,Information & Communication Technology careers,Platform Engineer,395,$135K,no data
4/04/2023 20:55,Government & Defence careers,Platform Manager,130,$165K,no data
4/04/2023 20:55,Marketing & Communications careers,Platform Specialist,67,$125K,no data
4/04/2023 20:55,Banking & Financial Services careers,Portfolio Analyst,124,$110K,no data
4/04/2023 20:55,Information & Communication Technology careers,Portfolio Manager,177,$135K,"Complete a bachelor degree in finance, accounting, commerce, economics or business. Selecting subjects that focus on investing, such as risk management, asset management or statistics can give you a solid background in portfolio management. "
4/04/2023 20:55,Insurance & Superannuation careers,Portfolio Specialist,26,$135K,no data
4/04/2023 20:55,Information & Communication Technology careers,Presales Consultant,141,$150K,"Consider completing a relevant qualification. This could be a degree in business or commerce, or a degree related to your field of work, such as a Bachelor of Information Technology or Bachelor of Computer Science. "
4/04/2023 20:55,Information & Communication Technology careers,Presales Engineer,123,$120K,no data
4/04/2023 20:55,Information & Communication Technology careers,Problem Manager,107,$105K,no data
4/04/2023 20:55,Information & Communication Technology careers,Process Analyst,"1,346",$128K,no data
4/04/2023 20:55,Information & Communication Technology careers,Product Analyst,273,$105K,no data
4/04/2023 20:55,Information & Communication Technology careers,Product Designer,"3,497",$125K,"Complete a qualification in Product Design. This may be a Certificate IV in Design (CUA40715), or Bachelor degree majoring in Product Design. Alternatively, if you already have a degree, you can complete a postgraduate qualification in digital product design or product management."
4/04/2023 20:55,Information & Communication Technology careers,Product Lead,591,$138K,no data
4/04/2023 20:55,Marketing & Communications careers,Product Manager,"2,416",$130K,"A qualification in a related discipline may be an advantage, such as IT, computer science, marketing, or business. "
4/04/2023 20:55,Information & Communication Technology careers,Product Owner,"1,051",$145K,"Complete a bachelor degree in information technology, computer science, business or a related field. This usually takes three years of full-time study."
4/04/2023 20:55,Information & Communication Technology careers,Program Analyst,136,$95K,no data
4/04/2023 20:55,Information & Communication Technology careers,Program Coordinator,278,$85K,"Consider completing a vocational qualification in project management, or a bachelor degree in business or economics."
4/04/2023 20:55,Information & Communication Technology careers,Program Director,"2,415",$230K,no data
4/04/2023 20:55,Information & Communication Technology careers,Program Manager,"4,654",$125K,"Complete a bachelor degree in business management or economics or in the industry you plan to enter, such as engineering or computer science."
4/04/2023 20:55,Community Services & Development careers,Programme Coordinator,55,$85K,no data
4/04/2023 20:55,"Advertising, Arts & Media careers",Programmer,"2,101",$75K,"Complete a qualification in computer science with a focus on software development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in software development."
4/04/2023 20:55,Information & Communication Technology careers,Programmer Analyst,158,$100K,no data
4/04/2023 20:55,Construction careers,Project Coordinator,"2,910",$80K,Complete a qualification in project management. This could be a Certificate IV in Project Management Practice (BSB40920) or a Diploma of Project Management (BSB50820).
4/04/2023 20:55,Information & Communication Technology careers,Project Management Officer,406,$105K,no data
4/04/2023 20:55,Information & Communication Technology careers,Project Manager,"12,574",$135K,Complete a Certificate IV in Project Management Practice (BSB40920). This certificate will prepare you to work as a part of a project team.
4/04/2023 20:55,Administration & Office Support careers,Project Support Officer,"1,017",$80K,"Consider completing a vocational qualification, such as a Certificate IV in Project Management Practice (BSB40920), or a Diploma of Project Management (BSB50820). These courses provide practical skills and knowledge to prepare you for a career in project management. Alternatively, a short course may provide you with basic knowledge and skills."
4/04/2023 20:55,Information & Communication Technology careers,Python Developer,"1,339",$130K,no data
4/04/2023 20:55,Information & Communication Technology careers,Quality Analyst,"1,482",$95K,no data
4/04/2023 20:55,Information & Communication Technology careers,Quality Assurance Engineer,379,$100K,no data
