date,industry,name,opportunities,salary,qualification,
8/04/2023 16:40,Information & Communication Technology careers,Design Specialist,83,$120K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Design Team Leader,585,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Desktop Support Specialist,494,$75K,no data,
8/04/2023 16:40,Information & Communication Technology careers,DevOps Engineer,"2,057",$135K,Complete a Bachelor of Computer Science or a related degree that focuses on software development. ,
8/04/2023 16:40,Information & Communication Technology careers,Developer,"9,164",$115K,Complete a qualification in computer science with a focus on software development.,
8/04/2023 16:40,Sales careers,Development Specialist,137,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Development Team Leader,"2,772",$110K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Digital Business Analyst,"1,132",$125K,"Complete a bachelor degree in IT, business, marketing or a related field. Aim to secure an internship while studying to gain industry experience.  ",
8/04/2023 16:40,Information & Communication Technology careers,Digital Project Manager,"2,194",$105K,Consider training in the Agile project management methodology to become a Scrum Master. Agile is the project management methodology of choice in the digital industry.,
8/04/2023 16:40,Information & Communication Technology careers,Domain Architect,390,$173K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Drupal Developer,5,$133K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Engagement Manager,59,$110K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Engineer,"12,499",$105K,"Decide on what type of Engineer you want to be. Although many of the skills of an Engineer are transferable between disciplines, it is recommended that you choose a specialisation early, in order to better focus your studies and training.",
8/04/2023 16:40,Information & Communication Technology careers,Engineering Lead,660,$165K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Enterprise Architect,879,$170K,"Get a bachelor or master’s degree in computer science, information technology or a related field. ",
8/04/2023 16:40,no data,Experience Consultant,353,$75K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Experience Executive,64,$73K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Extract Transform Load Developer,28,$120K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Field Engineer,"1,010",$90K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Firmware Engineer,-,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Front End Developer,"2,210",$105K,"Complete a qualification in Computer Science with a focus on Software Development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in Software Development.",
8/04/2023 16:40,Information & Communication Technology careers,Full Stack Developer,"1,252",$120K,"Complete a relevant qualification. This could be a Certificate IV in Information Technology (Programming) (ICT40120), Diploma of Information Technology (Back End Web Development) (ICT50220) or Diploma of Information Technology (Front End Web Development) (ICT50220).  Alternatively, you could complete a more advanced qualification, such as a bachelor degree in IT or computer science. ",
8/04/2023 16:40,Information & Communication Technology careers,Functional Analyst,143,$120K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Functional Consultant,193,$140K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Functional Specialist,38,$140K,no data,
8/04/2023 16:40,Science & Technology careers,Game Designer,230,$80K,"Undertake a qualification in the area of game design. This is commonly a Certificate IV in Information Technology (Gaming Development) (ICT40120) or a 
Diploma of Information Technology (ICT50220).",
8/04/2023 16:40,Information & Communication Technology careers,Game Developer,773,$100K,The technology in use in the gaming industry evolves constantly. It is important to keep up to date with the programming languages and game engines that are currently in use in the industry and aim to specialise in one of the in-demand programming languages.,
8/04/2023 16:40,Trades & Services careers,Hardware Technician,88,N/A,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Analyst,"1,395",$68K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Coordinator,1,$60K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Manager,122,$103K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Officer,"1,306",$65K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Operator,315,$60K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Team Leader,229,N/A,no data,
8/04/2023 16:40,Information & Communication Technology careers,Helpdesk Technician,72,$70K,no data,
8/04/2023 16:40,Information & Communication Technology careers,IT Business Analyst,"2,105",$110K,"Complete a bachelor degree in business administration, information systems or a related field. Alternatively, for students with previous tertiary qualifications in an unrelated field, complete a postgraduate qualification in business administration or a similar discipline.",
8/04/2023 16:40,Information & Communication Technology careers,IT Consultant,253,$90K,Complete a bachelor degree majoring in Information Technology. This is usually a three–year course of study.,
8/04/2023 16:40,Information & Communication Technology careers,IT Manager,"3,640",$135K,"Complete a bachelor degree in computer science, information technology, IT project management or a related field.",
8/04/2023 16:40,Information & Communication Technology careers,IT Project Manager,"3,706",$135K,Consider completing an undergraduate degree such as the Bachelor of Information Technology or Bachelor of Computer Science.,
8/04/2023 16:40,Information & Communication Technology careers,IT Service Desk Analyst,"1,479",$68K,no data,
8/04/2023 16:40,Information & Communication Technology careers,IT Support Engineer,"2,172",$78K,no data,
8/04/2023 16:40,Information & Communication Technology careers,IT Support Officer,"1,436",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",
8/04/2023 16:40,Information & Communication Technology careers,IT Support Technician,"1,354",$73K,"Complete a qualification in information technology, or information technology support, such a Diploma of Information Technology (ICT50115) or a Bachelor of Information Technology. You’ll usually need a senior secondary school certificate or equivalent to gain entry.",
8/04/2023 16:40,Information & Communication Technology careers,IT Technician,599,$70K,Complete a qualification in Information Technology. This could be the Diploma of Information Technology (ICT50118) or a Bachelor of Information Technology.,
8/04/2023 16:40,Information & Communication Technology careers,Implementation Consultant,242,$120K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Implementation Engineer,103,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Implementation Manager,222,$130K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Implementation Specialist,42,$90K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Incident Manager,238,$130K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Incident and Problem Manager,287,$105K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Information Analyst,66,$85K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Information Management Manager,516,N/A,no data,
8/04/2023 16:40,Information & Communication Technology careers,Information Manager,247,$130K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Information Security Analyst,254,$110K,"Complete a bachelor degree in computer science, programming, or a related field.",
8/04/2023 16:40,Information & Communication Technology careers,Information Technology Director,206,$155K,no data,
8/04/2023 16:40,Information & Communication Technology careers,Information Technology Specialist,616,N/A,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Analyst,49,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Architect,"1,028",$180K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Consultant,7,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Engineer,"2,203",$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Lead,253,$135K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Manager,403,$130K,no data,
8/04/2023 16:41,Engineering careers,Infrastructure Officer,20,$85K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Project Manager,"1,843",$140K,"Obtain a White Card. You can apply for a White Card online, and it is mandatory to hold one in order to work on a construction site in Australia.",
8/04/2023 16:41,Information & Communication Technology careers,Infrastructure Specialist,46,$115K,no data,
8/04/2023 16:41,Consulting & Strategy careers,Innovation Officer,3,N/A,no data,
8/04/2023 16:41,Marketing & Communications careers,Insights Analyst,261,$110K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Integration Analyst,49,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Integration Consultant,21,$140K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Integration Developer,380,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Integration Engineer,159,$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering. This usually takes three to four years of full-time study. ",
8/04/2023 16:41,Information & Communication Technology careers,Integration Manager,65,$155K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Integration Specialist,63,$145K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Intelligence Manager,38,$135K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Java Developer,"2,341",$130K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role.",
8/04/2023 16:41,Information & Communication Technology careers,Java Engineer,123,$140K,no data,
8/04/2023 16:41,Information & Communication Technology careers,JavaScript Developer,730,$115K,Complete a qualification in Computer Science with a focus on software development. This could be a Diploma of Information Technology (ICT50115) or a Bachelor degree majoring in Software Development.,
8/04/2023 16:41,Information & Communication Technology careers,Licensing Specialist,2,N/A,no data,
8/04/2023 16:41,Information & Communication Technology careers,Magento Developer,10,$115K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Management Analyst,203,$100K,no data,
